jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.3929E-06	5.1944E-07	1.6663E-07	3.6029E-07
2.0123E-06	1.2751E-07	1.4531E-06	3.5626E-07
1.3444E-06	-5.6820E-07	-1.5476E-06	7.9656E-07
9.6132E-07	-8.9631E-07	-1.3022E-06	-1.0051E-06
6.5555E-08	-1.1138E-06	-1.0454E-06	-2.9762E-07
-4.4344E-07	-8.6619E-07	2.3319E-07	-5.1225E-07
-8.1632E-07	-4.5662E-07	-5.3073E-07	5.6274E-07
-5.7514E-07	4.7571E-08	-7.4863E-07	1.0043E-06
-2.4917E-07	1.7552E-07	-2.0410E-06	2.4252E-06
1.8316E-07	1.9741E-07	-2.2181E-06	1.3058E-06
3.8141E-07	-1.6577E-08	1.7506E-06	1.7395E-07
4.2212E-07	-2.6999E-07	-1.2138E-06	4.7474E-08
1.4006E-07	-4.8993E-07	-5.9178E-07	1.9033E-07
-5.7374E-08	-4.5914E-07	9.7546E-07	2.1962E-06
-3.1381E-07	-2.8894E-07	-3.5781E-07	1.8580E-06
-2.9616E-07	-1.4232E-07	-1.8803E-06	-8.1415E-07
-2.1428E-07	-2.2608E-08	-2.4486E-07	6.1935E-07
-3.3615E-08	2.1021E-08	-6.3411E-07	-8.1667E-07
-6.2457E-09	-1.0137E-07	2.2563E-07	5.3893E-07
-3.8289E-08	-1.3051E-07	1.2749E-06	7.1622E-07
-2.2868E-07	-2.3090E-07	-8.9399E-08	1.1567E-06
-3.0918E-07	-1.7652E-07	-7.6280E-07	1.5030E-06
-4.1035E-07	-5.5015E-08	-1.0816E-06	1.3542E-06
-2.9375E-07	8.2705E-08	-7.9548E-07	7.2176E-07
-2.1734E-07	2.4334E-07	-1.5521E-07	1.1068E-06
-2.5447E-08	2.1206E-07	6.4364E-07	6.7506E-07
3.3906E-08	1.2048E-07	-2.6122E-06	-1.9785E-07
9.5974E-08	-4.1248E-08	1.2739E-06	1.2833E-06
1.2411E-08	-4.2367E-08	2.1982E-07	4.6444E-07
-8.5220E-08	-3.9127E-09	-1.2045E-06	3.0302E-07
-1.8414E-07	1.5231E-08	2.9971E-07	9.2927E-07
-1.6140E-07	1.3761E-07	1.4948E-07	1.6977E-06
-2.1275E-07	2.5083E-07	-9.7070E-07	9.7346E-07
-1.0581E-07	3.0049E-07	-4.5242E-07	1.7292E-06
-5.7202E-08	2.9709E-07	-7.1768E-07	1.0002E-06
9.8003E-08	2.0730E-07	-1.1044E-06	1.2276E-07
9.6893E-08	2.1885E-07	1.3757E-06	-4.2744E-07
1.6815E-07	6.4975E-08	3.7214E-07	1.4683E-06
1.5494E-07	8.4935E-08	1.0076E-07	1.2560E-06
7.6222E-08	1.3406E-07	1.1764E-06	-4.5151E-07
1.3585E-07	1.3351E-07	-1.1182E-06	6.1269E-07
1.7474E-07	1.4966E-07	-4.5462E-07	7.0250E-07
1.8363E-07	6.4403E-08	-1.9744E-06	4.1397E-08
1.6764E-07	-2.4946E-08	3.4963E-07	2.3424E-07
