jMRUI Data Textfile

Filename: Export_to_jmrui.txt

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 0.250000
ZeroOrderPhase: 0E0
BeginTime: 0E0
TransmitterFrequency: 1.2326E8
MagneticField: 2.8936E0
TypeOfNucleus:  
NameOfPatient:  
DateOfExperiment:  
Spectrometer:  
AdditionalInfo: 
SignalNames:  


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
1.1657E-06	-2.4264E-07	5.4998E-07	-8.4031E-07
1.7242E-06	-7.8850E-07	-1.0793E-06	-5.1816E-07
1.2239E-06	-1.0222E-06	-5.3505E-07	-4.0626E-07
7.6168E-07	-1.1873E-06	-1.5118E-06	4.2302E-07
9.7025E-08	-1.0609E-06	1.9313E-07	5.0961E-07
-3.2371E-07	-7.8803E-07	-8.6114E-07	-7.6306E-08
-6.0672E-07	-3.9215E-07	-5.0066E-08	4.2037E-07
-4.2391E-07	1.6281E-08	-5.9561E-07	-1.1870E-07
-1.1689E-07	1.3601E-07	-2.8760E-07	-1.4115E-07
3.1372E-07	3.9795E-08	-1.6582E-06	6.4385E-08
3.8876E-07	-2.0556E-07	-3.5796E-07	1.2739E-06
3.9844E-07	-3.8104E-07	-5.1262E-07	2.9593E-07
2.3918E-07	-4.7007E-07	-2.3801E-07	6.6452E-07
5.3209E-08	-4.8147E-07	-1.1553E-06	3.2329E-07
-1.1782E-07	-4.2792E-07	-4.6215E-07	1.9476E-06
-1.7523E-07	-2.7425E-07	4.4697E-07	1.2656E-06
-1.6428E-07	-1.6734E-07	1.1428E-06	9.1888E-07
-1.0619E-07	-7.1048E-08	2.7057E-07	-2.8920E-07
-5.3167E-08	-1.3094E-07	4.5031E-07	8.6795E-07
-5.7702E-08	-1.2193E-07	5.6666E-07	-6.4717E-07
-1.2399E-07	-1.7308E-07	-3.9745E-07	4.7987E-07
-1.2242E-07	-1.3651E-07	7.7508E-07	-3.6015E-09
-2.5378E-07	-7.2184E-08	-1.6173E-07	-5.8351E-07
-1.8785E-07	4.6220E-09	-7.9118E-07	6.3292E-09
-1.3565E-07	5.5693E-08	1.8536E-07	1.0394E-06
-2.5160E-08	7.2111E-08	7.2146E-07	-1.1388E-06
5.5143E-08	6.5282E-08	-1.9024E-06	-3.1042E-07
8.9948E-08	-3.4281E-08	-2.4739E-07	1.2174E-06
8.5742E-09	-6.9860E-08	-2.0607E-07	-2.7736E-08
-5.3465E-08	-1.3391E-07	-7.2499E-07	3.7795E-07
-1.0201E-07	-5.8439E-08	-7.6553E-07	9.6375E-07
-1.1291E-07	6.0522E-08	4.9571E-07	1.0481E-06
-1.3339E-07	1.1526E-07	-3.6485E-07	-4.3778E-07
-1.1924E-09	1.9139E-07	-1.1705E-06	1.4855E-06
4.5272E-08	1.6022E-07	8.4621E-07	1.4042E-06
1.3522E-07	1.2374E-07	5.5359E-07	7.3397E-08
1.5012E-07	-7.1357E-09	-4.6901E-07	1.8771E-09
1.7742E-07	-6.9918E-09	-5.9154E-07	1.5186E-06
1.6216E-07	-6.5529E-08	1.2964E-06	1.0539E-06
5.8318E-08	-2.3502E-08	4.3180E-07	-2.5782E-07
6.3395E-08	1.8972E-08	2.9699E-08	4.7658E-08
8.7354E-08	-1.8776E-08	-5.7451E-07	3.4152E-07
1.5114E-07	-5.1400E-08	2.5354E-07	9.1511E-07
1.3519E-07	-8.3557E-08	-2.0738E-07	1.8890E-07
8.5105E-08	-1.2028E-07	2.2075E-07	1.2568E-06
8.5784E-08	-2.0259E-07	4.7927E-07	-1.8972E-07
6.4845E-09	-2.2643E-07	-6.9042E-07	9.3330E-07
-2.2737E-08	-1.6601E-07	8.4669E-07	9.4096E-07
-1.0768E-07	-9.4302E-08	7.7946E-08	2.1340E-07
-4.2293E-08	-3.8148E-08	2.4497E-07	9.1898E-07
2.3056E-08	-7.1183E-10	6.6491E-07	6.8823E-07
5.8999E-08	-5.9607E-08	9.0894E-07	2.0099E-07
8.2820E-08	-8.8211E-08	8.6845E-08	-2.3638E-07
4.3460E-08	-1.5023E-07	3.3308E-08	9.0209E-07
-1.4487E-08	-7.6191E-08	1.3908E-06	3.4219E-07
-9.0740E-08	-9.3084E-08	4.6604E-07	-1.0302E-06
-1.5914E-07	-9.1374E-08	-4.9031E-07	-2.8836E-07
-7.9358E-08	-7.3684E-10	-5.0684E-07	-3.7324E-08
-8.0075E-08	5.0477E-08	-5.7509E-07	8.9586E-07
1.9420E-08	1.7960E-08	6.6661E-07	5.0076E-07
4.0040E-08	-2.8402E-08	-3.6891E-07	-6.9322E-08
1.1040E-07	-5.9698E-08	5.0185E-08	8.5514E-07
5.8362E-08	-1.3341E-07	1.7199E-07	2.3744E-07
-7.9614E-08	-1.5330E-07	3.4536E-07	6.1760E-07
-1.1522E-07	-1.2596E-07	4.7038E-07	-3.5361E-07
-1.4670E-07	-9.0520E-08	-4.5770E-07	-1.7072E-07
-1.8783E-07	-1.9341E-09	-5.5129E-07	1.8913E-07
-1.3635E-07	4.7406E-08	-5.5280E-07	6.6312E-07
-1.1675E-07	8.9417E-08	-2.7455E-07	8.8274E-07
-4.5092E-08	1.0260E-07	5.4463E-07	9.1970E-07
-4.8405E-08	3.0806E-08	3.3527E-08	-6.2513E-07
-2.8888E-08	7.6547E-08	-1.3957E-06	1.1567E-06
-5.1401E-08	1.6534E-08	1.1640E-06	1.3440E-06
-5.8766E-08	-9.8758E-09	-1.1254E-07	-8.7944E-07
-7.0278E-08	2.1535E-08	-1.4616E-06	1.0939E-06
-3.7519E-08	4.6784E-08	3.0964E-07	1.6630E-06
-2.1933E-08	7.8925E-08	1.9604E-07	6.0016E-07
-3.3402E-08	4.4588E-08	-4.3080E-08	1.2348E-06
1.7435E-08	6.3166E-08	5.4112E-07	1.0170E-06
-2.6677E-08	4.4554E-08	6.6461E-07	9.1528E-07
-3.3695E-08	-4.2654E-10	5.7424E-07	-3.5286E-08
-1.0261E-07	7.4146E-08	-7.0189E-07	8.6540E-07
-7.3299E-08	6.4568E-08	9.1167E-07	1.5420E-06
-5.6623E-08	9.3831E-08	8.2884E-07	2.0131E-07
1.2021E-08	1.1278E-07	2.6703E-07	3.2799E-07
3.1964E-08	1.0210E-07	-1.0048E-07	7.4079E-07
5.3232E-08	4.8841E-08	1.0534E-06	1.3467E-06
9.8838E-08	-5.2897E-08	1.3538E-06	-7.0349E-07
4.4787E-08	-7.4675E-08	-1.0268E-06	-5.1433E-07
-8.9456E-09	-5.6480E-08	-5.7540E-07	1.4734E-06
-8.7125E-08	-6.7524E-08	6.3463E-07	1.1817E-06
-9.9600E-08	7.7271E-09	8.5944E-07	4.5952E-07
-4.7753E-08	6.2381E-08	-9.3420E-08	-1.6882E-07
-8.9268E-08	1.3165E-07	-5.1771E-07	1.1160E-06
-5.3029E-08	1.0485E-07	4.8022E-08	1.0846E-06
-2.7276E-08	8.6528E-08	3.3459E-07	2.1505E-06
2.4803E-08	4.3781E-09	2.1430E-06	6.5008E-07
3.1308E-08	-2.8850E-08	-8.8070E-08	9.9834E-08
2.3406E-08	-8.1213E-08	1.1845E-06	1.5015E-06
-2.4015E-08	-7.6614E-08	1.1482E-06	7.2760E-08
-3.5293E-08	-5.6217E-08	1.1961E-06	3.3872E-07
-1.0454E-07	-2.8395E-08	3.1162E-07	-6.4002E-07
-8.1453E-08	-2.4410E-08	2.3023E-07	1.1018E-06
-1.2381E-07	1.2417E-09	1.2802E-06	-3.8617E-07
-1.1339E-07	8.1774E-09	-6.0103E-07	1.8386E-07
-8.0532E-08	3.3733E-08	9.7762E-07	9.3104E-07
-1.0421E-07	3.8857E-08	2.1251E-07	-2.4188E-07
-1.4443E-07	1.8352E-08	4.1716E-07	1.1852E-06
-8.6243E-08	3.1144E-09	1.3331E-06	-2.5903E-07
-8.9151E-08	2.6460E-08	-3.5479E-07	-1.1595E-07
-4.7088E-08	9.0126E-08	4.2214E-07	9.2426E-07
-8.7396E-08	3.7455E-08	8.2682E-07	3.8758E-07
-7.3731E-08	-9.1352E-09	9.5510E-07	-1.2536E-08
-5.5213E-08	3.2292E-08	2.8647E-07	-4.9869E-07
-5.8709E-08	4.3348E-09	-3.1112E-08	3.5534E-08
-9.5537E-08	-1.2954E-08	-8.7195E-08	-7.4906E-08
-9.1254E-08	-7.4318E-09	-5.6680E-07	5.8686E-07
-1.4420E-07	3.8936E-08	3.8633E-07	1.0565E-06
-8.1411E-08	4.4320E-08	2.1736E-07	3.6006E-07
-2.6631E-08	3.6929E-08	5.1433E-07	1.4748E-06
-3.8239E-08	5.1616E-08	2.0599E-06	-8.5866E-08
-3.5852E-08	7.6046E-08	1.4038E-07	-1.3340E-06
1.3687E-09	4.4987E-08	-9.1003E-07	-4.6092E-07
-5.6624E-08	3.1447E-08	-1.4170E-06	1.0149E-06
-1.0719E-07	-2.0111E-08	2.9174E-07	1.9582E-06
-1.1852E-07	2.2426E-09	9.1616E-07	1.0832E-06
-1.0028E-07	3.3930E-08	1.2762E-06	6.0707E-07
-9.5379E-08	3.8533E-09	8.3041E-07	-1.3465E-07
-6.8692E-08	1.0724E-07	4.0625E-07	-2.2337E-07
-6.5979E-08	4.2247E-08	-2.8463E-07	3.1044E-07
-3.7460E-08	6.9252E-08	7.7841E-07	6.4227E-07
-6.9504E-09	7.0105E-08	1.3889E-07	-2.4226E-07
-6.2822E-08	5.8057E-08	2.4872E-07	5.0054E-07
-9.3323E-08	4.3803E-08	3.1411E-08	-1.1575E-07
-9.8967E-08	4.0331E-08	-4.1957E-08	5.8763E-07
-5.9236E-08	4.5418E-08	-1.2120E-07	2.0927E-07
-7.3124E-08	1.0264E-07	8.0274E-08	1.0917E-06
6.5582E-10	2.3049E-08	4.9991E-07	7.2621E-08
-1.0129E-08	1.6748E-08	-3.1511E-07	7.4773E-07
-2.6371E-08	-9.6869E-09	5.9290E-07	4.6337E-07
-3.3329E-08	-3.7689E-08	-4.5313E-07	4.6913E-07
-8.2410E-08	-1.5539E-08	6.0465E-07	1.1220E-06
-9.9889E-08	3.6720E-10	-1.5117E-08	-1.3436E-07
-9.9445E-08	2.3411E-08	-3.7255E-07	1.5899E-06
-1.0750E-07	2.9267E-08	1.2111E-06	5.2533E-07
-9.4094E-08	2.2084E-08	-6.0218E-07	3.3184E-07
-7.9479E-08	2.8009E-08	3.3109E-07	1.4212E-06
-7.4588E-08	3.0493E-08	6.6032E-09	1.0822E-06
-6.0173E-08	2.2756E-08	1.3372E-06	1.8693E-06
-7.0512E-08	-5.3840E-09	1.3317E-06	-1.8084E-07
-5.8758E-08	-1.0785E-08	6.0531E-08	5.1670E-07
-7.7654E-08	8.0212E-09	5.6333E-07	1.0224E-06
-9.3126E-08	2.5125E-08	1.2797E-06	7.3708E-07
-1.0284E-07	4.1599E-08	5.5782E-07	-2.2110E-07
-7.0006E-08	3.7150E-08	1.2072E-07	7.7743E-07
-1.0331E-07	5.5056E-08	5.8857E-07	8.0056E-07
-1.1949E-07	4.9127E-08	9.9116E-07	7.4375E-07
-9.1554E-08	3.8429E-08	4.7263E-07	2.5036E-07
-1.0206E-07	4.4100E-08	1.0274E-06	9.3650E-07
-7.6616E-08	6.5624E-08	3.9954E-07	-3.9662E-07
-5.1654E-08	2.9707E-08	8.2414E-08	1.7099E-06
-5.3842E-08	6.0918E-08	1.6520E-06	5.7313E-07
-3.0592E-08	3.3279E-09	1.1824E-06	1.0425E-06
-6.4601E-08	1.7596E-08	2.4771E-06	-9.6074E-07
-7.6357E-08	2.2002E-08	-8.6563E-07	-9.3049E-07
-8.1741E-08	1.9699E-08	6.4960E-07	1.3725E-06
-7.7468E-08	5.1468E-08	1.4759E-06	-9.3231E-08
-1.0843E-07	4.1930E-08	8.2814E-07	-8.1754E-07
-1.2919E-07	2.5507E-08	-4.4420E-07	-4.2993E-07
-9.1181E-08	1.1038E-07	-8.6695E-09	6.9635E-07
-1.0836E-07	1.0830E-07	5.7136E-07	7.1267E-07
-6.8387E-08	8.5276E-08	1.1860E-06	2.1013E-07
-2.7843E-08	9.8254E-08	6.1764E-07	-3.3713E-07
-6.7867E-09	7.3747E-08	5.8026E-07	-2.5353E-07
-2.1191E-08	4.6881E-08	7.6286E-08	-4.0042E-07
1.0627E-08	4.2719E-08	3.0018E-08	-6.1174E-09
-3.7765E-08	4.3003E-08	-1.8555E-08	2.3133E-07
-4.1563E-08	6.4899E-08	6.5539E-07	1.9047E-07
-7.0738E-08	4.9758E-08	2.0537E-07	-6.4187E-07
-1.0666E-07	2.2930E-08	-4.6215E-07	-2.9857E-07
-9.1605E-08	3.0963E-08	-5.9380E-07	1.8002E-07
-5.5880E-08	2.6775E-08	-4.6349E-07	2.8001E-07
-3.8356E-08	2.6661E-08	-8.4071E-07	8.9995E-07
-6.4140E-09	6.5722E-08	3.7256E-07	1.2248E-06
-4.3734E-08	-1.6686E-09	9.3341E-09	4.8611E-07
-4.4902E-08	2.2565E-08	6.5659E-07	1.0258E-06
